gratitude,admiration,curiosity,neutral,approval,confusion,annoyance,excitement,caring,relief,disappointment,joy,disgust,amusement,anger,disapproval,desire,surprise,remorse,love,optimism,grief,sadness,realization,embarrassment,fear,pride,nervousness
0.00011565917520783842,0.0005373885505832732,0.00014097624807618558,0.7286558747291565,0.26189303398132324,9.244636748917401e-05,0.00017621695587877184,0.00018558338342700154,3.0841754778521135e-05,2.8016629585181363e-05,0.00033409358002245426,0.00014993053628131747,2.3672328097745776e-05,0.0007661891868337989,1.4784239283471834e-05,0.00042588988435454667,0.00011404894758015871,9.579251491231844e-05,3.63525323336944e-05,4.368477675598115e-05,0.00046337320236489177,1.4043981536815409e-05,0.0002275667793583125,0.005323326680809259,4.750059360958403e-06,2.044985922111664e-05,1.3364526239456609e-05,7.261744030984119e-05
4.782372707268223e-05,7.522659871028736e-05,2.9151789931347594e-05,0.9825406670570374,0.014030508697032928,0.0002372084854869172,9.270341251976788e-05,2.4607052182545885e-05,2.778408997983206e-05,1.7482527255197056e-05,0.00034408201463520527,3.746524453163147e-05,2.810712430800777e-05,8.044332207646221e-05,1.479509228374809e-05,0.000772108614910394,2.610606316011399e-05,1.2216531104058959e-05,3.665464828372933e-05,2.3868495190981776e-05,9.038010466611013e-05,6.327139999484643e-06,0.00011161103611811996,0.0012271763989701867,4.490218543651281e-06,2.0212833987898193e-05,6.043764642527094e-06,3.478095823084004e-05
4.072187948622741e-05,6.278831278905272e-05,4.598577652359381e-05,0.9598860144615173,0.03351641073822975,7.233696669572964e-05,0.0004194829089101404,1.7428268620278686e-05,0.0003228108398616314,6.996377487666905e-05,0.0004473724402487278,2.4960560040199198e-05,4.7080164222279564e-05,2.6587307729641907e-05,2.0809095076401718e-05,0.0011076851515099406,4.803337651537731e-05,1.0416645636723842e-05,3.969613680965267e-05,1.4558045222656801e-05,0.0003456785634625703,5.5715522648824845e-06,0.00015960907330736518,0.002974641742184758,1.1965030353167094e-05,0.00012225823593325913,6.957164714549435e-06,0.00013219279935583472
4.011904093204066e-05,0.0001681338035268709,7.009227556409314e-05,0.9966788291931152,0.0014155389508232474,0.00022766212350688875,3.181647480232641e-05,3.803396975854412e-05,5.000444070901722e-05,8.807153790257871e-06,8.070426702033728e-05,2.544048948038835e-05,6.396320713975001e-06,6.925440538907424e-05,1.0234351066173986e-05,3.058465517824516e-05,3.906837082467973e-05,3.0805455025983974e-05,4.602413537213579e-05,2.242620030301623e-05,0.00023303786292672157,1.6945145034696907e-05,5.675119609804824e-05,0.000567410490475595,3.2553514301980613e-06,1.2342724403424654e-05,5.96706013311632e-06,1.4375259524967987e-05
0.0001830366236390546,0.0007037500035949051,0.00014980060223024338,0.9965007305145264,0.00044796260772272944,0.0003106318472418934,4.372148760012351e-05,7.666185410926118e-05,8.745628292672336e-05,2.4194558136514388e-05,5.204424087423831e-05,0.0004418671305757016,1.9488599718897603e-05,0.00033384113339707255,1.9956734831794165e-05,6.0464102716650814e-05,8.2011116319336e-05,2.319242230441887e-05,3.455334444879554e-05,2.5680659746285528e-05,0.00026375960442237556,1.2330695426499005e-05,2.230354948551394e-05,4.29217834607698e-05,5.27154816154507e-06,1.0757691597973462e-05,1.558350595587399e-05,6.05501736572478e-06
0.0003717484651133418,0.0029414088930934668,0.0020424698013812304,0.9770143628120422,0.014536106027662754,0.0012345099821686745,6.639467756031081e-05,5.149245043867268e-05,4.569035809254274e-05,4.128240470890887e-05,0.00012598620378412306,4.117278876947239e-05,2.0633142412407324e-05,5.487262751557864e-05,3.775126606342383e-05,0.00044041324872523546,0.00012948668154422194,1.8631497368915007e-05,6.438453419832513e-05,5.3110728913452476e-05,0.0004408736131154001,7.528466085204855e-06,2.9920889573986642e-05,0.00013491052959579974,5.252219580142992e-06,3.037869100808166e-05,7.511798685300164e-06,1.1754796105378773e-05
3.551785630406812e-05,0.0003020466538146138,4.1288603824796155e-05,0.9982513785362244,0.00025870674289762974,0.00013282989675644785,0.0001018316688714549,1.2018256711598951e-05,0.00011785359674831852,9.914802831190173e-06,7.483882654923946e-05,4.1779407183639705e-05,1.9850542230415158e-05,8.810057624941692e-05,5.625159610644914e-05,8.091551717370749e-05,4.1938521462725475e-05,6.914535788382636e-06,4.752759923576377e-05,3.116525840596296e-05,0.00012098013394279405,1.0986645065713674e-05,4.394150892039761e-05,3.5814147850032896e-05,4.4370935938786715e-06,1.6763309758971445e-05,8.692711162439082e-06,5.7367428780708e-06
3.551785630406812e-05,0.0003020466538146138,4.1288603824796155e-05,0.9982513785362244,0.00025870674289762974,0.00013282989675644785,0.0001018316688714549,1.2018256711598951e-05,0.00011785359674831852,9.914802831190173e-06,7.483882654923946e-05,4.1779407183639705e-05,1.9850542230415158e-05,8.810057624941692e-05,5.625159610644914e-05,8.091551717370749e-05,4.1938521462725475e-05,6.914535788382636e-06,4.752759923576377e-05,3.116525840596296e-05,0.00012098013394279405,1.0986645065713674e-05,4.394150892039761e-05,3.5814147850032896e-05,4.4370935938786715e-06,1.6763309758971445e-05,8.692711162439082e-06,5.7367428780708e-06
0.0005795523757115006,0.0035235434770584106,0.00014765483501832932,0.9915771484375,0.0021024574525654316,0.00024740645312704146,6.07998990744818e-05,3.7751808122266084e-05,0.00016081688227131963,9.859927376965061e-05,0.00015439142589457333,0.00012782054545823485,3.1462328479392454e-05,7.128125434974208e-05,3.6301400541560724e-05,0.0005383240641094744,3.354335422045551e-05,1.6333591702277772e-05,7.029771950328723e-05,4.3261363316560164e-05,0.00010026762174675241,3.126122464891523e-05,4.088913556188345e-05,8.022381371119991e-05,6.936515546840383e-06,4.9167814722750336e-05,2.391127600276377e-05,8.60831278259866e-06
4.358141086413525e-05,4.926688416162506e-05,9.829299233388156e-05,0.9978834986686707,0.00014684548659715801,0.00029759746394120157,4.753428584081121e-05,6.261070666369051e-05,0.0002324143424630165,1.508228979218984e-05,0.00012699986109510064,0.00011297227320028469,1.7839609427028336e-05,0.00010852683772100136,2.8077287424821407e-05,3.988042226410471e-05,0.00010695419041439891,2.824778675858397e-05,0.00010654086509020999,5.098147812532261e-05,0.00010390654642833397,2.064447835437022e-05,9.509137453278527e-05,5.56107988813892e-05,1.3362167919694912e-05,5.249612149782479e-05,1.3337850759853609e-05,4.172781336819753e-05
0.0006284401752054691,0.0006214554305188358,0.0005291855777613819,0.8175448775291443,0.010458921082317829,0.02225300669670105,0.00013417050649877638,0.00023520858667325228,2.761125870165415e-05,0.00048396969214081764,0.0008331917342729867,0.00026170240016654134,0.00014129206829238683,0.00017661562014836818,0.0001233259099535644,0.0008258200832642615,0.0003164268855471164,0.0006484558107331395,0.0007181356195360422,0.00016898178728297353,0.0043700505048036575,0.0015544486232101917,0.000383723498089239,0.13274328410625458,0.0001527028070995584,5.1816310588037595e-05,0.0033887368626892567,0.0002244149218313396
9.452737867832184e-05,0.0002565722679719329,8.83940010680817e-05,0.9885603785514832,0.0012668223353102803,0.00016162022075150162,0.0014048893935978413,0.0007351030362769961,0.00036419296520762146,4.7685447498224676e-05,0.0001379194000037387,2.5954703232855536e-05,0.0001703637681202963,0.0002562250301707536,0.0005527547909878194,0.0001367910299450159,0.00015256389451678842,9.12935720407404e-05,0.0002341382933082059,7.608958549099043e-05,0.0004513837629929185,2.3721124307485297e-05,0.00011608984641497955,0.00011699207971105352,0.00019612697360571474,0.002687185537070036,0.00014091617777012289,0.0014532931381836534
2.6673304091673344e-05,0.00014067089068703353,8.179984433809295e-05,0.9976021647453308,0.00015500621520914137,0.00028710244805552065,0.00010858826863113791,1.5054457435326185e-05,0.00015688496932853013,6.538899924635189e-06,0.00022554215684067458,1.1057131814595778e-05,3.454057514318265e-05,2.0284685888327658e-05,0.000144397490657866,8.772863657213748e-05,0.00014727722737006843,1.167595291917678e-05,0.00012408233305905014,7.520175859099254e-05,0.0003194720484316349,1.623776370252017e-05,9.092221444007009e-05,5.649108061334118e-05,1.5007341062300839e-05,2.2627844373346306e-05,6.8259014369687065e-06,1.02141975730774e-05
0.00023850094294175506,0.00037086993688717484,0.0004002659406978637,0.9501073360443115,0.011362492106854916,0.00014195193944033235,0.0009179083281196654,0.004820454865694046,0.0019060088088735938,0.00014645476767327636,0.00015169469406828284,0.0001661382120801136,0.00023068228620104492,0.0010880398331210017,0.0001749415387166664,9.623461664887145e-05,0.0014804037055000663,0.0002834776241797954,0.0006425192696042359,0.00017193770327139646,0.007775828707963228,6.670840957667679e-05,0.0005011127213947475,0.0007068196428008378,0.0003290002641733736,0.008413366973400116,0.00018564022320788354,0.007123253308236599
3.583301804610528e-05,0.00022189713490661234,2.3265587515197694e-05,0.9977728724479675,0.0008041569381020963,0.00011669028754113242,4.6350185584742576e-05,3.094477506238036e-05,3.7160330975893885e-05,8.870545570971444e-06,0.00010746537009254098,1.8575481590232812e-05,1.3684441000805236e-05,5.4304589866660535e-05,3.6975485272705555e-05,6.255023617995903e-05,3.38504250976257e-05,1.1067189916502684e-05,6.730703171342611e-05,2.3584283553645946e-05,0.0001899480412248522,1.1475463907117955e-05,6.335205398499966e-05,0.00016374235565308481,5.598559255304281e-06,1.4497563824988902e-05,1.1417074347264133e-05,1.2511525710579008e-05
5.884877100470476e-05,0.0018006915925070643,7.76377200963907e-05,0.9784619808197021,0.0006103227497078478,0.00021742601529695094,0.0007151452591642737,0.00016434276767540723,0.0007942054653540254,2.09343070309842e-05,0.00018674386956263334,0.00012829726620111614,0.00032073442707769573,0.00016876471636351198,0.012417293153703213,8.408838039031252e-05,0.0001435313606634736,4.640622137230821e-05,0.00026668442296795547,0.0018110742093995214,0.0007831252878531814,0.00012769961904268712,0.0002233358973171562,0.00010238146933261305,4.485286262934096e-05,7.003323116805404e-05,0.00013058437616564333,2.283206777065061e-05
0.0001179745959234424,0.0001452836295356974,0.0001536176132503897,0.9972484707832336,0.00013499564374797046,0.0008595003164373338,4.669949703384191e-05,3.285062484792434e-05,0.00013505926472134888,1.2175103620393202e-05,9.677127673057839e-05,4.710815483122133e-05,2.672295886441134e-05,8.843112300382927e-05,6.6561704443302e-05,5.301515557221137e-05,0.00013774276885669678,1.656725180509966e-05,0.0001173734272015281,4.6330245822900906e-05,0.00022415205603465438,2.2778365746489726e-05,6.795067747589201e-05,3.739574094652198e-05,1.3241318811196834e-05,2.5911376724252477e-05,1.2530903404694982e-05,1.2776664334523957e-05
0.0001194331343867816,0.0009217163315042853,7.49675600673072e-05,0.9950209856033325,0.0002183013566536829,0.0004484521341510117,0.0001850007101893425,2.523250805097632e-05,0.0004198839596938342,3.539329918567091e-05,0.00012515936396084726,1.7182983356178738e-05,5.4122283472679555e-05,5.1511240599211305e-05,0.0009451151709072292,0.00011530066694831476,8.118196274153888e-05,3.515667049214244e-05,0.00013325762120075524,4.314692341722548e-05,0.0006308710435405374,8.491495827911422e-05,5.523820436792448e-05,5.8896672271657735e-05,1.6360803783754818e-05,2.9879363864893094e-05,4.185957368463278e-05,1.145556234405376e-05
